title,authors,first_author_last_name,doi,journal,year,abstract,keywords,type,topic,focus,material_system,material_subclass,manufacturer,instrument,configuration,laser,analysis_mode,pulse_fraction_or_energy,detection_rate,pulse_rate,base_temperature
Erratum: Nanometer Scale Composition Study of MBE Grown BGaN Performed by Atom Probe Tomography,"Bonef, Bastien; Cramer, Richard; Speck, James S.",Bonef,10.1063/1.5018191,Journal of Applied Physics,2018,Erratum: Nanometer scale composition study of MBE grown BGaN performed by atom probe tomography,,Journal Article,Materials Science and Application Studies,Other,Semiconductors,,,,,,Voltage,N/A,N/A,N/A,N/A
Atom probe tomography assessment of the impact of electron beam exposure on InxGa1−xN/GaN quantum wells,"Bennett, Samantha E; Saxey, David W; Kappers, Menno J; Barnard, Jonathan S; Humphreys, Colin J; Smith, George Dw; Oliver, Rachel A",Bennett,10.1063/1.3610468,Applied Physics Letters,2011,This study addresses the ongoing debate concerning the distribution of indium in InxGa1−xN quantum wells (QWs) using a combination of atom probe tomography (APT) and transmission electron microscopy (TEM).,"InxGa1−xN, quantum wells, atom probe tomography, transmission electron microscopy",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,0.1-0.3 nJ,0.008–0.02 per pulse,200 kHz,25 K
"Correlated high-resolution x-ray diffraction, photoluminescence, and atom probe tomography analysis of continuous and discontinuous InxGa1−xN quantum wells","Ren, Xiaochen; Riley, James R.; Koleske, Daniel D.; Lauhon, Lincoln J.",Ren,10.1063/1.4926808,Applied Physics Letters,2015,"Atom probe tomography (APT) is used to characterize the influence of hydrogen dosing during GaN barrier growth on the indium distribution of InxGa1−xN quantum wells, and correlated micro-photoluminescence is used to measure changes in the emission spectrum and efficiency.","InxGa1−xN quantum wells, atom probe tomography, photoluminescence, high-resolution x-ray diffraction",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,50 pJ,0.5%,200 kHz,50 K
"On the interplay between relaxation, defect formation, and atomic Sn distribution in Ge(1−x)Sn(x) unraveled with atom probe tomography","Kumar, A.; Demeulemeester, J.; Bogdanowicz, J.; Bran, J.; Melkonyan, D.; Fleischmann, C.; Gencarelli, F.; Shimura, Y.; Wang, W.; Loo, R.; Vandervorst, W.",Kumar,10.1063/1.4926473,Journal of Applied Physics,2015,The continuous scaling of Complementary-Metal-Oxide-Semiconductor (CMOS) devices to increase the performance and functionality of modern microelectronic-based systems has stimulated research in alternative materials to silicon. Ge based alloys are among the most promising materials for a high mobility metal-oxide-semiconductor-field-effect-transistor (MOSFET).,"Ge(1−x)Sn(x), atom probe tomography, relaxation, defect formation, atomic Sn distribution",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA/GPM,LAWATAP,Straight Flight Path,344 nm,Laser,400 fs,50%,200 kHz,15 K
Perspective: From field-ion microscopy of single atoms to atom-probe tomography: A journey,"Seidman, David N.; Müller, E. W.",Seidman,10.1063/1.2716503,Review of Scientific Instruments,2007,Perspective: From field-ion microscopy of single atoms to atom-probe tomography: A journey,,Journal Article,Instrumentation and Technique Development,Other,,,,,,,N/A,N/A,N/A,N/A,N/A
Blocking of deuterium diffusion in poly-Si/Al2O3/HfxSi1−xO2/SiO2 high-k stacks as evidenced by atom probe tomography,"Tu, Y.; Han, B.; Shimizu, Y.; Kunimune, Y.; Shimada, Y.; Katayama, T.; Ide, T.; Inoue, M.; Yano, F.; Inoue, K.; Nagai, Y.",Tu,10.1063/1.5010256,Applied Physics Letters,2018,"Hydrogen (H) plays an important role in determining the reliability and performance of HfO2- and Al2O3-based high-k dielectric electronic devices. In order to understand H behavior, deuterium (D), an isotope of H, was introduced into the poly-Si cap of Al2O3/HfxSi1−xO2/SiO2 high-k stacks by ion implantation. Atom probe tomography was used to image the D distribution in samples annealed under different conditions.","Atom probe tomography, Deuterium, High-k dielectric, Hydrogen, Ion implantation",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Semiconductors,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Laser,50 pJ,0.4%,160 kHz,50 K
"Comparison of Quantitative Analyses Using SIMS, Atom Probe Tomography, and Femtosecond Laser Ablation Inductively Coupled Plasma Mass Spectrometry with Si1−XGeX and Fe1−X NiX Binary Alloys","Jang, Yun Jung; Kim, Seon Hee; Kim, Kyung Joong; Kim, Donghwan; Lee, Yeonhee",Jang,10.1116/6.0000101,Journal of Vacuum Science and Technology B,2020,"Due to their electrical and physical properties, Si1−XGeX materials are widely used in microelectronic devices. In particular, the Ge component found within Si1−XGeX compounds is important for enhancing carrier mobility and altering the lattice constant of metal-oxide-semiconductor field-effect transistors.","Si1−XGeX, Fe1−X NiX, SIMS, Atom Probe Tomography, Femtosecond Laser Ablation Inductively Coupled Plasma Mass Spectrometry",Journal Article,Data Analysis and Quantification Methods,Other,Semiconductors,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Voltage,30–50 pJ,0.5%,200 kHz,7.9 × 10−9 Pa
Atomic-level quantum well degradation of GaN-based laser diodes investigated by atom probe tomography,"Wen, Pengyan; Xiu, Huixin; Zhang, Shuming; Liu, Jianping; Chen, Yimeng; Yang, Hui",Wen,10.1063/5.0215654,Journal of Applied Physics,2024,"Gallium nitride (GaN)-based lasers are extensively employed in display, lighting, and communication applications due to their visible laser emission. Despite notable advancements in their performance and reliability, sustained device functionality over extended periods remains a challenge. Among the diverse mechanisms contributing to degradation, the deterioration of quantum wells poses a persistent obstacle. In this study, we investigated the atomic-level degradation of quantum wells within GaN-based laser diodes utilizing atom probe microscopy.","GaN, laser diodes, quantum wells, atom probe tomography",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,0.5 pJ,0.5%,200 kHz,30 K
Boron Distribution in Two-Phase Superconducting Silicon-On-Insulator by Atom Probe Tomography,"Dumas, P.; Duguay, S.; Blavette, D.; Opprecht, M.; Kerdilès, S.; Lefloch, F.; Nemouchi, F.",Dumas,10.1063/5.0264354,Journal of Applied Physics,2025,We investigate with Atom Probe Tomography (APT) the distribution of boron in a thin superconducting Silicon-On-Insulator film (33 nm) obtained by high-dose ion implantation (2.5 × 1016 at/cm2) and single-pulse laser melting (160 ns).,"Atom Probe Tomography, Superconducting Silicon-On-Insulator, Boron Distribution",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA/GPM,LAWATAP,Straight Flight Path,344 nm,Laser,10 nJ,0.5%,100 kHz,80 K
Indium clustering in a-plane InGaN quantum wells as evidenced by atom probe tomography,"Tang, Fengzai; Zhu, Tongtong; Oehler, Fabrice; Fu, Wai Yuen; Griffiths, James T.; Massabuau, Fabien C.-P.; Kappers, Menno J.; Martin, Tomas L.; Bagot, Paul A. J.; Moody, Michael P.; Oliver, Rachel A.",Tang,10.1063/1.4909514,Applied Physics Letters,2015,Atom probe tomography (APT) has been used to characterize the distribution of In atoms within non-polar a-plane InGaN quantum wells (QWs) grown on a GaN pseudo-substrate produced using epitaxial lateral overgrowth.,"Indium clustering, a-plane InGaN quantum wells, atom probe tomography",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,0.004 nJ,0.005 atoms per pulse,N/A,-30 K
Post-field ionization of Si clusters in atom probe tomography: A joint theoretical and experimental study,"Cuduvally, Ramya; Morris, Richard J. H.; Oosterbos, Giel; Ferrari, Piero; Fleischmann, Claudia; Forbes, Richard G.; Vandervorst, Wilfried",Cuduvally,10.1063/5.0106692,Journal of Applied Physics,2022,"This work was an experimental investigation of the PFI behavior of molecular/cluster ions in APT. We have shown that the charge-state variation of Si clusters Si2 and Si3 as a function of the electric field is qualitatively consistent with the predictions of PFI theory, i.e., the fraction of doubly charged species increases with the electric field. However, the variation of the F50 value as a function of the cluster size showed a poor agreement between the experimental data and theoretical predictions.","atom probe tomography, post-field ionization, Si clusters, PFI behavior, molecular/cluster ions, electric field, charge-state variation",Journal Article,Data Reconstruction and Physical Modeling,Other,Semiconductors,,CAMECA,LEAP 5000 XR,Reflectron Fitted,355 nm,Laser,90-165 pJ,0.5-3.5%,N/A,25-50 K
Atom probe tomography using an extreme ultraviolet trigger pulse,"Caplins, Benjamin W.; Chiaramonti, Ann N.; Garcia, Jacob M.; Sanford, Norman A.; Miaja-Avila, Luis",Caplins,10.1063/5.0160797,Review of Scientific Instruments,2023,Atom probe tomography (APT) is a powerful materials characterization technique capable of measuring the isotopically resolved three-dimensional (3D) structure of nanoscale specimens with atomic resolution.,"Atom probe tomography, Extreme ultraviolet, Trigger pulse, EUV, Instrumentation, Diagnostics, Controls",Journal Article,Instrumentation and Technique Development,Other,Semiconductors,,NIST,EUV Atom Probe,Straight Flight Path,29.6 nm,Laser,50 pJ,0.5%,25 kHz,35 K
1-D Metal Nanobead Arrays within Encapsulated Nanowires via a Red-Ox-Induced Dewetting: Mechanism Study by Atom-Probe Tomography,"Sun, Zhiyuan; Tzaguy, Avra; Hazut, Ori; Lauhon, Lincoln J.; Yerushalmi, Roie; Seidman, David N.",Sun,10.1021/acs.nanolett.7b03391,Nano Letters,2017,Metal nanoparticle arrays are excellent candidates for a variety of applications due to the versatility of their morphology and structure at the nanoscale.,"One-dimensional dewetting, hybrid nanostructure, oxidation, atom-probe tomography, germanium oxide nanowire, metal nanobeads (NBs)",Journal Article,Materials Science and Application Studies,Other,Nanomaterials,,CAMECA,LEAP 4000X Si,Straight Flight Path,355 nm,Laser,50 pJ,0.5%,250 kHz,40 K
Mapping nitrogen heteroatoms in carbon fibres using atom probe tomography and photoelectron spectroscopy,"Johansen, Marcus; Schlueter, Christoph; Tam, Pui Lam; Asp, Leif E.; Liu, Fang",Johansen,10.1016/j.carbon.2021.03.061,Carbon,2021,Carbon fibres show great potential as multifunctional negative electrode for novel structural battery composites e a rechargeable electrochemical cell with structural function.,"Carbon fibres, Multifunctional, Electrochemical, Atom probe tomography, Synchrotron, Hard X-ray photoelectron spectroscopy",Journal Article,Materials Science and Application Studies,Other,Composite Materials,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,1 nJ,37%,100 kHz,100 K
Unravelling lithium distribution in carbon fibre electrodes for structural batteries with atom probe tomography,"Johansen, Marcus; Singh, M.P.; Xu, J.; Asp, L.E.; Gault, B.; Liu, F.",Johansen,10.1016/j.carbon.2024.119091,Carbon,2024,"Carbon fibres in structural batteries are multifunctional by acting both as structural reinforcement and as lithium (Li)-ion battery electrode. The relationship between the microstructure and mechanical capabilities of carbon fibres are well established, but much remains unexplored regarding their electrochemical properties.","Multifunctional composites, Structural battery, Active material, Electrostatic field shielding",Journal Article,Materials Science and Application Studies,Other,Composite Materials,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,1 nJ,2 ions per 1000 pulses,200 kHz,100 K
Nanoscale evidence of zircon-coffinite-xenotime solid solution observed by atom probe tomography,"Zhao, Wenhao; Wang, Bi-Wen; Gu, Li-Xin; Tang, Xu; Liu, Yu; Awais, Muhammad; Liu, Xiao-Chi; Li, Xian-Hua; Hu, Rong; Li, Qiu-Li",Zhao,10.1016/j.chemgeo.2023.121697,Chemical Geology,2023,"Ion probe zircon U-Pb dating has been widely used in earth and planetary sciences research. Previous studies found that ion probes have problems in the U-Pb dating of zircon with high U content. When the U content of zircon reaches a high threshold, the apparent age of U-Pb will become scattered and mostly older, which is called the “high U effect”. Based on micron-scale observations, predecessors have proposed that the spontaneous alpha decay of high content of radioactive element U and its daughter nuclear recoil will damage the zircon lattice, resulting in an increased yield of Pb+ in SIMS analyses and therefore an older 206Pb/238U age. However, there are also studies showing that zircons that have not been damaged also show a “high U effect”. In this contribution, scanning electron microscopy, ion probe and atom probe tomography research were carried out on high U content zircon grains (3.0 ± 0.1 Ma) in a highly fractionated leucogranites from the Himalayas to study the microcosmic occurrence state of zirconium constituent elements. Results show that these zircon grains have extremely high U contents ranging from 4271 to 95,176 μg/g. The distribution of U, P and Y in zircon is inhomogeneous, with enrichment features in local nanoscale regions. Zr constituent elements mainly exist in two states: (1) lamellar enrichment region, which corresponds to the compositional oscillation ring of zircon. The lamellar high U region is nearly parallel distributed. Its composition is in the transition between zircon, coffinite (USiO4) and xenotime; (2) The agglomerated high U region, which appears as isolated particles in zircon with a composition close to coffinite. The composition of the observed highest U region is Zr2.7Si12.2O61.8U19.8P1.4Y1.2Yb0.6Hf0.3, and the particle size is ~8 nm. Nanoscale coffinites and xenotimes in high U zircons result in obvious differences between the matrix with the ion probe zircon standard reference materials, which resulted in the “high U effect”.","Zircon, Atom probe tomography, SIMS U–Pb dating, High U effect, Solid solution",Journal Article,Materials Science and Application Studies,Other,Geological Materials,,CAMECA,LEAP 5000 XR,Reflectron Fitted,355 nm,Laser,200 pJ,1%,125–200 kHz,50 K
Understanding the Al diffusion pathway during atmospheric corrosion of a Mg-Al alloy using atom probe tomography,"Schwarz, Tim M.; Birbilis, Nick; Gault, Baptiste; Mccarroll, Ingrid",Schwarz,10.1016/j.corsci.2025.112951,Corrosion Science,2025,"Magnesium alloys continue to play a significant role in the context of lightweight structural materials, albeit that corrosion susceptibility remains a limit to their wider use. Most research to date has focused on aqueous corrosion of Mg alloys, whilst atmospheric corrosion remains poorly understood.","Magnesium, Corrosion, Al diffusion, Additive manufacturing, Atom probe tomography",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,,,,,Laser,20 pJ,5 ion per 1000 pulses,333 kHz,50 K
Pushing the limits: Resolving paleoseawater signatures in nanoscale fluid inclusions by atom probe tomography,"Taylor, Sandra D.; Gregory, D. D.; Perea, D. E.; Kovarik, L.; Cliff, J. B.; Lyons, T. W.",Taylor,10.1016/j.epsl.2022.117859,Earth and Planetary Science Letters,2022,Earth and Planetary Science Letters 599 (2022) 117859,"fluid inclusion, pyrite, seawater chemistry, atom probe tomography, hardening",Journal Article,Materials Science and Application Studies,Other,Geological Materials,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Laser,40 pJ,0.004-0.005 ions per pulse,125 kHz,40 K
The shocking state of apatite and merrillite in shergottite Northwest Africa 5298 and extreme nanoscale chlorine isotope variability revealed by atom probe tomography,"Darling, James R.; White, L. F.; Kizovski, T.; Černok, A.; Moser, D. E.; Tait, K. T.; Dunlop, J.; Langelier, B.; Douglas, J. O.; Zhao, X.; Franchi, I. A.; Anand, M.",Darling,10.1016/j.gca.2020.11.007,Geochimica et Cosmochimica Acta,2021,"The elemental and chlorine isotope compositions of calcium-phosphate minerals are key recorders of the volatile inventory of Mars, as well as the planet’s endogenous magmatic and hydrothermal history.","Shergottite, Mars, martian meteorite, shock metamorphism, apatite, merrillite, chlorine isotopes, NanoSIMS, atom probe tomography, EBSD, Martian meteorites, chlorine isotope composition, early solar system, Mars formation",Journal Article,Materials Science and Application Studies,Other,Geological Materials,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Voltage,50 pJ,0.5%,200 kHz,50 K
